ward_code,ward_name
1188,MANYATTA 'B'
1189,NYALENDA 'A'
1190,KOLWA CENTRAL
1191,SOUTH WEST KISUMU
1192,CENTRAL KISUMU
1193,KISUMU NORTH
1194,WEST KISUMU
1195,NORTH WEST KISUMU
1196,RAILWAYS
1197,MIGOSI
1198,SHAURIMOYO KALOLENI
1199,MARKET MILIMANI
1200,KONDELE
1201,NYALENDA B
1202,WEST SEME
1203,CENTRAL SEME
1204,EAST SEME
1205,NORTH SEME
1206,EAST KANO/WAWIDHI
1207,AWASI/ONJIKO
1208,AHERO
1209,KABONYO/KANYAGWAL
1210,KOBURA
1211,MIWANI
1212,OMBEYI
1213,MASOGO/NYANG'OMA
1214,CHEMELIL
1215,MUHORONI/KORU
1216,SOUTH WEST NYAKACH
1217,NORTH NYAKACH
1218,CENTRAL NYAKACH
1219,WEST NYAKACH
1220,SOUTH EAST NYAKACH
1221,WEST KASIPUL
1222,SOUTH KASIPUL
1223,CENTRAL KASIPUL
1224,EAST KAMAGAK
1225,WEST KAMAGAK
1226,KABONDO EAST
1227,KABONDO WEST
1228,KOKWANYO/KAKELO
1229,KOJWACH
1230,WEST KARACHUONYO
1231,NORTH KARACHUONYO
1232,CENTRAL
1233,KANYALUO
1234,KIBIRI
1235,WANGCHIENG
1236,KENDU BAY TOWN
1237,WEST GEM
1238,EAST GEM
1239,KAGAN
1240,KOCHIA
1241,HOMA BAY CENTRAL
1242,HOMA BAY ARUJO
1243,HOMA BAY WEST
1244,HOMA BAY EAST
1245,KWABWAI
1246,KANYADOTO
1247,KANYIKELA
1248,KABUOCH NORTH
1249,KABUOCH SOUTH/PALA
1250,KANYAMWA KOLOGI
1251,KANYAMWA KOSEWE
1252,MFANGANO ISLAND
1253,RUSINGA ISLAND
1254,KASGUNGA
1255,GEMBE
1256,LAMBWE
1257,GWASSI SOUTH
1258,GWASSI NORTH
1259,KAKSINGRI WEST
1260,RUMA-KAKSINGRI
1261,NORTH KAMAGAMBO
1262,CENTRAL KAMAGAMBO
1263,EAST KAMAGAMBO
1264,SOUTH KAMAGAMBO
1265,NORTH SAKWA
1266,SOUTH SAKWA
1267,WEST SAKWA
1268,CENTRAL SAKWA
1269,GOD JOPE
1270,SUNA CENTRAL
1271,KAKRAO
1272,KWA
1273,WIGA
1274,WASWETA II
1275,RAGANA-ORUBA
1276,WASIMBETE
1277,WEST KANYAMKAGO
1278,NORTH KANYAMKAGO
1279,CENTRAL KANYAMKAGO
1280,SOUTH KANYAMKAGO
1281,EAST KANYAMKAGO
1282,KACHIEN'G
1283,KANYASA
1284,NORTH KADEM
1285,MACALDER/KANYARWANDA
1286,KALER
1287,GOT KACHOLA
1288,MUHURU
1289,BUKIRA EAST
1290,BUKIRA CENTRL/IKEREGE
1291,ISIBANIA
1292,MAKERERO
1293,MASABA
1294,TAGARE
1295,NYAMOSENSE/KOMOSOKO
1296,GOKEHARAKA/GETAMBWEGA
1297,NTIMARU WEST
1298,NTIMARU EAST
1299,NYABASI EAST
1300,NYABASI WEST
1301,BOMARIBA
1302,BOGIAKUMU
